Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:38:26 2018,-0.272,-0.583,-0.864,34.454,-27.924,72.96,26.872,27.499,-52.187,1
Mon Sep 24 16:38:26 2018,-0.266,-0.73,-1.002,-18.242,13.382,24.216,23.059,25.482,-54.113,2
Mon Sep 24 16:38:27 2018,-0.057,-0.527,-1.032,24.384,43.747,12.596,21.062,27.865,-55.689,1
Mon Sep 24 16:38:27 2018,-0.372,-0.578,-0.972,-17.738,66.46,35.37,16.886,24.382,-60.418,1
Mon Sep 24 16:38:27 2018,-0.206,-0.92,-1.05,-11.07,51.064,65.369,10.531,19.799,-63.745,2
Mon Sep 24 16:38:27 2018,-0.209,-0.718,-0.936,-28.526,-40.527,70.236,7.626,12.833,-66.547,1
Mon Sep 24 16:38:28 2018,-0.162,-0.215,-0.921,-25.093,24.414,-9.758,7.807,8.616,-67.773,1
Mon Sep 24 16:38:28 2018,-0.256,-1,-1.042,23.087,-64.72,109.52,7.989,3.3,-66.897,1
Mon Sep 24 16:38:28 2018,-0.301,-0.43,-0.883,22.194,-0.473,5.623,11.62,-4.033,-65.847,2
Mon Sep 24 16:38:28 2018,-0.188,-0.499,-0.889,2.899,-22.057,7.156,12.165,-1.283,-66.372,1
Mon Sep 24 16:38:29 2018,-0.269,-0.387,-0.849,20.737,8.224,-13.512,13.618,-2.017,-67.423,2
Mon Sep 24 16:38:29 2018,-0.084,-0.519,-0.865,25.62,-33.073,12.962,11.983,-1.1,-65.847,1
Mon Sep 24 16:38:29 2018,-0.277,-0.57,-0.915,-7.339,4.15,4.631,12.891,-1.65,-65.321,0
Mon Sep 24 16:38:29 2018,-0.277,-0.485,-0.996,16.159,-36.736,10.742,11.802,0.183,-66.722,2
Mon Sep 24 16:38:30 2018,-0.218,-0.384,-0.93,9.422,12.68,3.593,13.436,-1.833,-66.547,1
Mon Sep 24 16:38:30 2018,-0.185,-0.607,-0.942,-5.547,3.532,15.999,15.07,-1.65,-66.722,2
Mon Sep 24 16:38:30 2018,-0.187,-0.41,-0.982,31.525,23.361,18.082,17.612,-2.383,-67.072,1
Mon Sep 24 16:38:30 2018,-0.244,-0.178,-1.014,5.318,70.74,17.876,23.059,-4.583,-69.874,1
Mon Sep 24 16:38:31 2018,-0.306,-0.93,-0.803,-40.985,-44.861,35.912,22.877,-9.899,-74.953,2
Mon Sep 24 16:38:31 2018,-0.088,-0.72,-0.905,-45.303,-41.016,23.003,18.52,-8.433,-79.156,1
Mon Sep 24 16:38:31 2018,-0.428,-0.264,-1.008,14.206,8.308,-33.646,12.165,-9.35,-79.331,1
Mon Sep 24 16:38:31 2018,-0.174,-0.526,-0.946,-15.938,32.608,-35.347,9.26,-6.783,-78.28,1
Mon Sep 24 16:38:32 2018,-0.163,-0.366,-0.961,-12.07,-118.103,85.533,10.712,-7.15,-73.377,1
Mon Sep 24 16:38:32 2018,-0.133,0.026,-0.796,48.05,-72.037,62.881,12.528,-4.216,-70.575,1
Mon Sep 24 16:38:32 2018,-0.362,-0.82,-0.786,-38.933,76.553,-58.502,10.531,-4.033,-67.598,1
